,City,State,Song,lat,long
344,Los Angeles,California,City of the Angels,34.0536909,-118.242766
345,Los Angeles,California,City of the Angels,34.0536909,-118.242766
346,Los Angeles,California,City of the Angels,34.0536909,-118.242766
347,Los Angeles,California,City of the Angels (Los Angeles),34.0536909,-118.242766
348,Los Angeles,California,City of Stars,34.0536909,-118.242766
349,Los Angeles,California,The City with Two Faces,34.0536909,-118.242766
350,Los Angeles,California,Classic Hollywood Ending,34.0536909,-118.242766
351,Los Angeles,California,Clifton in the Rain,34.0536909,-118.242766
352,Los Angeles,California,Cobra Skullifornia,34.0536909,-118.242766
353,Los Angeles,California,Colazione a Disneyland,34.0536909,-118.242766
354,Los Angeles,California,Cold and Windy Night,34.0536909,-118.242766
355,Los Angeles,California,Cold as a Hollywood Kiss,34.0536909,-118.242766
356,Los Angeles,California,Cold in California,34.0536909,-118.242766
357,Los Angeles,California,Cold in LA,34.0536909,-118.242766
358,Los Angeles,California,Cold Rock A Party,34.0536909,-118.242766
359,Los Angeles,California,The Coldest Rap,34.0536909,-118.242766
360,Los Angeles,California,Coldwater Canyon,34.0536909,-118.242766
361,Los Angeles,California,Colors,34.0536909,-118.242766
362,Los Angeles,California,The Colors of Malibu,34.0536909,-118.242766
363,Los Angeles,California,Come a Long Way,34.0536909,-118.242766
364,Los Angeles,California,Come Monday,34.0536909,-118.242766
365,Los Angeles,California,Come to L.A.,34.0536909,-118.242766
366,Los Angeles,California,Come to L.A.,34.0536909,-118.242766
367,Los Angeles,California,Come to L.A.,34.0536909,-118.242766
368,Los Angeles,California,Come To Los Angeles,34.0536909,-118.242766
369,Los Angeles,California,Comin' into Los Angeles,34.0536909,-118.242766
370,Los Angeles,California,Coming Of Age In L.A.,34.0536909,-118.242766
371,Los Angeles,California,Coming to America,34.0536909,-118.242766
372,Los Angeles,California,Compton,34.0536909,-118.242766
373,Los Angeles,California,Compton,34.0536909,-118.242766
374,Los Angeles,California,Compton Brooklyn,34.0536909,-118.242766
375,Los Angeles,California,Compton Hoochies,34.0536909,-118.242766
376,Los Angeles,California,Compton's in the House,34.0536909,-118.242766
377,Los Angeles,California,Compton's Lynchin',34.0536909,-118.242766
378,Los Angeles,California,Concrete Schoolyard,34.0536909,-118.242766
379,Los Angeles,California,Cool Nights and Hollywood Lights,34.0536909,-118.242766
380,Los Angeles,California,Corrido de Boxeo,34.0536909,-118.242766
381,Los Angeles,California,Couldn't Get It Right,34.0536909,-118.242766
382,Los Angeles,California,Country Boy (You Got Your Feet in L.A.),34.0536909,-118.242766
383,Los Angeles,California,A Country Mile,34.0536909,-118.242766
384,Los Angeles,California,Covina,34.0536909,-118.242766
385,Los Angeles,California,Cowboy,34.0536909,-118.242766
386,Los Angeles,California,Cowboys and Indians,34.0536909,-118.242766
387,Los Angeles,California,Cowboys from Hollywood,34.0536909,-118.242766
388,Los Angeles,California,Cracked Actor,34.0536909,-118.242766
389,Los Angeles,California,Cradlesong,34.0536909,-118.242766
390,Los Angeles,California,Crash Course to Hollywood,34.0536909,-118.242766
391,Los Angeles,California,Crazy as a Loon,34.0536909,-118.242766
392,Los Angeles,California,Creep 'N Crawl,34.0536909,-118.242766
393,Los Angeles,California,Creeping Coastline of Lights,34.0536909,-118.242766
394,Los Angeles,California,Crenshaw,34.0536909,-118.242766
395,Los Angeles,California,Cribs L.A.,34.0536909,-118.242766
396,Los Angeles,California,Croydon,34.0536909,-118.242766
397,Los Angeles,California,,34.0536909,-118.242766
398,Los Angeles,California,Crunchy Beach 3/Hollywood,34.0536909,-118.242766
399,Los Angeles,California,Cruiser,34.0536909,-118.242766
400,Los Angeles,California,Cruisin' (Lucy and Ramona and Sunset Sam),34.0536909,-118.242766
401,Los Angeles,California,Crusin' Down Sunset,34.0536909,-118.242766
402,Los Angeles,California,Cruisin' on Sunset,34.0536909,-118.242766
403,Los Angeles,California,Cruisin' Ventura Blvd.,34.0536909,-118.242766
404,Los Angeles,California,Cruising Central Ave.,34.0536909,-118.242766
405,Los Angeles,California,Cruising Down on Sunset,34.0536909,-118.242766
406,Los Angeles,California,Cruisin' the Streets,34.0536909,-118.242766
407,Los Angeles,California,Crystal Palace,34.0536909,-118.242766
408,Los Angeles,California,Culver Moon,34.0536909,-118.242766
409,Los Angeles,California,Dance Yourself Dizzy,34.0536909,-118.242766
410,Los Angeles,California,Danger,34.0536909,-118.242766
411,Los Angeles,California,Dangerous Sex,34.0536909,-118.242766
412,Los Angeles,California,Dark Side of L. A.,34.0536909,-118.242766
413,Los Angeles,California,Das Hollywood-Schaukellied (Auf der bunten Hollywood-Schaukel),34.0536909,-118.242766
414,Los Angeles,California,Das War Hollywood Von Gestern,34.0536909,-118.242766
415,Los Angeles,California,Dawn Storm,34.0536909,-118.242766
416,Los Angeles,California,,34.0536909,-118.242766
417,Los Angeles,California,The Day the Niggaz Took Over,34.0536909,-118.242766
418,Los Angeles,California,Daytona 500,34.0536909,-118.242766
419,Los Angeles,California,Dead in Hollywood,34.0536909,-118.242766
420,Los Angeles,California,Dead Loss Angeles,34.0536909,-118.242766
421,Los Angeles,California,Dead Man's Curve,34.0536909,-118.242766
422,Los Angeles,California,Debra,34.0536909,-118.242766
423,Los Angeles,California,Deep Kick,34.0536909,-118.242766
424,Los Angeles,California,Deez Hollywood Nights,34.0536909,-118.242766
425,Los Angeles,California,Denver to L.A.,34.0536909,-118.242766
426,Los Angeles,California,Der Zug Nach L.A.,34.0536909,-118.242766
427,Los Angeles,California,Desire (Hollywood Mix),34.0536909,-118.242766
428,Los Angeles,California,Descanso Drive,34.0536909,-118.242766
429,Los Angeles,California,Desperados Under the Eaves,34.0536909,-118.242766
430,Los Angeles,California,Diary of a San Fernando Sexx Star,34.0536909,-118.242766
431,Los Angeles,California,Die in Disneyland,34.0536909,-118.242766
432,Los Angeles,California,Disco Cops,34.0536909,-118.242766
433,Los Angeles,California,Disco Really Made It!,34.0536909,-118.242766
434,Los Angeles,California,Disneyland,34.0536909,-118.242766
